,d1r1,d1r0,d0r1,d0r0,ROR,SE,CI95min,CI95max
BEVACIZUMAB,4,2603,201,34241,0.26177984453453057,0.505359774063734,0.0972221635290631,0.7048669204325758
FLUOROURACIL,11,4581,194,32263,0.3993331938058813,0.31034338770338243,0.2173530740620878,0.7336772224792787
DOCETAXEL,7,3415,198,33429,0.34607125427037577,0.38500699710877384,0.16272000722798055,0.7360208192743788
GEMCITABINE HYDROCHLORIDE,4,2203,201,34641,0.3129247091821871,0.5054284502963217,0.1162011630355816,0.8426927154487434
PACLITAXEL,12,3850,193,32994,0.5328416661059148,0.29800122362882925,0.2971217299572345,0.9555687535186084
PREDNISOLONE,1,1273,204,35571,0.1369737997319902,1.0028537378537608,0.01918629723407003,0.9778761156531592
CETUXIMAB,1,1252,204,35592,0.13935350498026686,1.0028602988604325,0.019519378087332638,0.9948779752817913
CAPECITABINE,5,2043,200,34801,0.4258565834557024,0.45334116409926034,0.17513444732753775,1.0355120448314448
OXALIPLATIN,1,1123,204,35721,0.1559242575035357,1.002905991342876,0.021838503282051024,1.1132802355558473
METHYLPREDNISOLONE,1,1107,204,35737,0.15824875569017127,1.0029124016355513,0.022163790326122618,1.129891065968613
GEMCITABINE\GEMCITABINE HYDROCHLORIDE,8,2425,197,34419,0.5763818096185044,0.36127215085905695,0.28391556548748736,1.170122497118754
RITUXIMAB,15,3708,190,33136,0.7055016181229773,0.2687558192522496,0.4166088029810669,1.1947239943385428
DEXAMETHASONE,35,6733,170,30111,0.9207371943281991,0.18610619057765293,0.6393208965352175,1.3260273293329847
PEMETREXED DISODIUM,6,1684,199,35160,0.6295133625371513,0.4151072848475799,0.2790348828609058,1.420206210599029
SODIUM CHLORIDE,1,876,204,35968,0.2012713761303608,1.0030310642182685,0.028182838858568402,1.4374054740441065
BLEOMYCIN SULFATE,8,1998,197,34846,0.7082412361600179,0.36139360859169156,0.34878416477800384,1.4381548798717256
DOXORUBICIN,25,4627,180,32217,0.9670592896765363,0.21401569528093584,0.6357395989141137,1.471048321273487
PREDNISONE,10,2268,195,34576,0.7818025595803374,0.3249585266326366,0.4135107514076145,1.4781120928192435
GEMCITABINE,12,2573,193,34271,0.8281536642978399,0.2982155446195032,0.4615988641972858,1.4857889498549854
EPIRUBICIN,2,947,203,35897,0.3734583153437612,0.7113437509844254,0.09262625575281946,1.505740593375489
CYTARABINE,19,3506,186,33338,0.9713333210655772,0.2415018512599582,0.605059050250481,1.559332796066269
VINORELBINE TARTRATE,2,809,203,36035,0.43884379547821006,0.7114702756372605,0.10881637085840365,1.7698060991238085
AMLODIPINE BESYLATE,1,660,204,36184,0.2687462863933452,1.0032171992265164,0.03761722475903569,1.919986572982514
ETOPOSIDE,72,9860,133,26984,1.4815293812624868,0.14678611909029726,1.1111262343965844,1.9754094895761327
ACETAMINOPHEN,7,1346,198,35498,0.932377264472361,0.38558884911175606,0.4378968492858638,1.9852331998339106
PEMETREXED,13,2014,192,34830,1.1709440168818273,0.2875006877687886,0.6665160407497774,2.0571296215601347
IRINOTECAN,4,927,201,35917,0.7710530411588229,0.5060451709073585,0.28597621170272547,2.0789239382549782
IFOSFAMIDE,23,2967,182,33877,1.442925291762501,0.22212457247773268,0.9336145096987415,2.2300782346235484
PEMBROLIZUMAB,9,1423,196,35421,1.1429898030891907,0.34197094095257935,0.584723858073649,2.23426096255049
VINCRISTINE,28,3486,177,33358,1.5137612597281782,0.20415886651691306,1.0145509246145015,2.258608312169772
APREPITANT,9,1390,196,35454,1.171215680516811,0.34199529521618593,0.599134882907994,2.2895448244149534
CARBOPLATIN,38,4543,167,32301,1.617857834847584,0.18042974002035272,1.135940179014472,2.304226949740076
DOXORUBICIN HYDROCHLORIDE,24,2971,181,33873,1.5117628791020379,0.2180771367912343,0.985944958812842,2.318006682018764
POTASSIUM CHLORIDE,1,542,204,36302,0.32832284205194995,1.0033815455379578,0.04594153315073707,2.3463711639614764
CYCLOPHOSPHAMIDE,57,6389,148,30455,1.8358570262232807,0.15649271789369654,1.3509197944416962,2.4948712977636722
ONDANSETRON,12,1520,193,35324,1.4449413689664576,0.2986651713628028,0.8046764641490234,2.594652202184948
ONDANSETRON HYDROCHLORIDE,1,480,204,36364,0.37136437908496733,1.003500270972883,0.051952155233347806,2.654586733384233
